Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_10,TestCloud - macOS - Chrome 129.0.0.0,,,09-10-2024 17:40:59,09-10-2024 17:41:42,43.132s,FAILED
,,,,,,,
Test Cases/TC_10_Verify Subscription in home page,TestCloud - macOS - Chrome 129.0.0.0,,,09-10-2024 17:40:59,09-10-2024 17:41:42,43.068s,FAILED
"openBrowser("""")",TestCloud - macOS - Chrome 129.0.0.0,,,09-10-2024 17:40:59,09-10-2024 17:41:29,29.539s,PASSED
"navigateToUrl(""https://www.automationexercise.com/"")",TestCloud - macOS - Chrome 129.0.0.0,,,09-10-2024 17:41:29,09-10-2024 17:41:30,1.578s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Automation Exercise/h2_Subscription""), 0)",TestCloud - macOS - Chrome 129.0.0.0,,,09-10-2024 17:41:30,09-10-2024 17:41:33,2.417s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Automation Exercise/h2_Subscription""), STOP_ON_FAILURE)",TestCloud - macOS - Chrome 129.0.0.0,,,09-10-2024 17:41:33,09-10-2024 17:41:35,1.900s,PASSED
"setText(findTestObject(""Object Repository/Page_Automation Exercise/input_Subscription_susbscribe_email""), ""nhan@katalon.com"")",TestCloud - macOS - Chrome 129.0.0.0,,,09-10-2024 17:41:35,09-10-2024 17:41:38,3.868s,PASSED
"click(findTestObject(""Object Repository/Page_Automation Exercise/i_Subscription_fa fa-arrow-circle-o-right""))",TestCloud - macOS - Chrome 129.0.0.0,,,09-10-2024 17:41:38,09-10-2024 17:41:40,1.631s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Automation Exercise/div_You have been successfully subscribed""))",TestCloud - macOS - Chrome 129.0.0.0,,,09-10-2024 17:41:40,09-10-2024 17:41:42,2.085s,FAILED
