Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_01,Chrome 129.0.0.0,,,10-10-2024 14:53:41,10-10-2024 14:53:51,9.970s,PASSED
,,,,,,,
Test Cases/TC_10_Verify Subscription in home page,Chrome 129.0.0.0,,,10-10-2024 14:53:41,10-10-2024 14:53:51,9.897s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,10-10-2024 14:53:41,10-10-2024 14:53:45,3.836s,PASSED
"navigateToUrl(""https://www.automationexercise.com/"")",Chrome 129.0.0.0,,,10-10-2024 14:53:45,10-10-2024 14:53:49,3.461s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Automation Exercise/h2_Subscription""), 0)",Chrome 129.0.0.0,,,10-10-2024 14:53:49,10-10-2024 14:53:49,0.816s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Automation Exercise/h2_Subscription""), STOP_ON_FAILURE)",Chrome 129.0.0.0,,,10-10-2024 14:53:49,10-10-2024 14:53:50,0.465s,PASSED
"setText(findTestObject(""Object Repository/Page_Automation Exercise/input_Subscription_susbscribe_email""), ""nhan@katalon.com"")",Chrome 129.0.0.0,,,10-10-2024 14:53:50,10-10-2024 14:53:50,0.592s,PASSED
"click(findTestObject(""Object Repository/Page_Automation Exercise/i_Subscription_fa fa-arrow-circle-o-right""))",Chrome 129.0.0.0,,,10-10-2024 14:53:50,10-10-2024 14:53:51,0.262s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Automation Exercise/div_You have been successfully subscribed""))",Chrome 129.0.0.0,,,10-10-2024 14:53:51,10-10-2024 14:53:51,0.241s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,10-10-2024 14:53:51,10-10-2024 14:53:51,0.163s,PASSED
