Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_01,Chrome 129.0.0.0,,,04-10-2024 15:28:19,04-10-2024 15:29:16,57.143s,FAILED
,,,,,,,
Test Cases/TC_04_Logout,Chrome 129.0.0.0,,,04-10-2024 15:28:44,04-10-2024 15:29:07,23.412s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,04-10-2024 15:28:44,04-10-2024 15:28:48,3.899s,PASSED
"callTestCase(findTestCase(""TC_02_Login_with_correct_email_password""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,04-10-2024 15:28:48,04-10-2024 15:29:06,18.230s,PASSED
"click(findTestObject(""Page_Automation Exercise/a_Logout""))",Chrome 129.0.0.0,,,04-10-2024 15:29:06,04-10-2024 15:29:07,1.211s,PASSED
waitForPageLoad(3),Chrome 129.0.0.0,,,04-10-2024 15:29:07,04-10-2024 15:29:07,0.054s,PASSED
"verifyGreaterThan(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/a_Signup  Login""), null)",Chrome 129.0.0.0,,,04-10-2024 15:29:07,04-10-2024 15:29:07,0.008s,FAILED
,,,,,,,
Test Cases/TC_02_Login_with_correct_email_password,Chrome 129.0.0.0,,,04-10-2024 15:29:07,04-10-2024 15:29:16,8.577s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,04-10-2024 15:29:07,04-10-2024 15:29:11,3.548s,PASSED
"click(findTestObject(""Object Repository/Page_Automation Exercise/a_Signup  Login""))",Chrome 129.0.0.0,,,04-10-2024 15:29:11,04-10-2024 15:29:12,1.614s,PASSED
"setText(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/input_Login to your account_email""), ""nhantest@katalon.com"")",Chrome 129.0.0.0,,,04-10-2024 15:29:12,04-10-2024 15:29:14,1.426s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/input_Login to your account_password""), ""VFrE/ihxX88="")",Chrome 129.0.0.0,,,04-10-2024 15:29:14,04-10-2024 15:29:14,0.277s,PASSED
"click(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/button_Login""))",Chrome 129.0.0.0,,,04-10-2024 15:29:14,04-10-2024 15:29:16,1.666s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Automation Exercise/a_Logout""))",Chrome 129.0.0.0,,,04-10-2024 15:29:16,04-10-2024 15:29:16,0.037s,PASSED
