Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_01,TestCloud - macOS - Chrome 129.0.0.0,,,10-10-2024 15:04:11,10-10-2024 15:04:53,41.574s,FAILED
,,,,,,,
Test Cases/TC_10_Verify Subscription in home page,TestCloud - macOS - Chrome 129.0.0.0,,,10-10-2024 15:04:11,10-10-2024 15:04:53,41.509s,FAILED
"openBrowser("""")",TestCloud - macOS - Chrome 129.0.0.0,,,10-10-2024 15:04:11,10-10-2024 15:04:39,28.307s,PASSED
"navigateToUrl(""https://www.automationexercise.com/"")",TestCloud - macOS - Chrome 129.0.0.0,,,10-10-2024 15:04:39,10-10-2024 15:04:41,1.776s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Automation Exercise/h2_Subscription""), 0)",TestCloud - macOS - Chrome 129.0.0.0,,,10-10-2024 15:04:41,10-10-2024 15:04:44,2.325s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Automation Exercise/h2_Subscription""), STOP_ON_FAILURE)",TestCloud - macOS - Chrome 129.0.0.0,,,10-10-2024 15:04:44,10-10-2024 15:04:45,1.884s,PASSED
"setText(findTestObject(""Object Repository/Page_Automation Exercise/input_Subscription_susbscribe_email""), ""nhan@katalon.com"")",TestCloud - macOS - Chrome 129.0.0.0,,,10-10-2024 15:04:45,10-10-2024 15:04:49,3.712s,PASSED
"click(findTestObject(""Object Repository/Page_Automation Exercise/i_Subscription_fa fa-arrow-circle-o-right""))",TestCloud - macOS - Chrome 129.0.0.0,,,10-10-2024 15:04:49,10-10-2024 15:04:51,1.827s,PASSED
"acctualText = getText(findTestObject(""Object Repository/Page_Automation Exercise/div_You have been successfully subscribed""))",TestCloud - macOS - Chrome 129.0.0.0,,,10-10-2024 15:04:51,10-10-2024 15:04:53,1.587s,PASSED
"verifyEqual(acctualText, ""You have been successfully subscribed"")",TestCloud - macOS - Chrome 129.0.0.0,,,10-10-2024 15:04:53,10-10-2024 15:04:53,0.036s,FAILED
